"site_id","year","FFD"
"X003b",2007,43.64640884
"X003b",2008,60.43956044
"X003b",2009,61.32596685
"X003b",2010,38.67403315
"X003b",2011,56.90607735
"X003b",2012,58.24175824
"X003b",2013,44.19889503
"X003b",2014,45.85635359
"X003b",2015,40.8839779
"X003b",2016,32.41758242
"X003b",2017,49.17127072
"X003b",2018,50.27624309
"X003a",1951,67.9558011
"X003a",1952,64.28571429
"X003a",1953,56.90607735
"X003a",1954,65.19337017
"X003a",1955,62.43093923
"X003a",1956,71.42857143
"X003a",1957,65.74585635
"X003a",1958,49.72375691
"X003a",1959,57.45856354
"X003a",1960,51.64835165
"X003a",1961,39.22651934
"X003a",1962,51.93370166
"X003a",1963,34.25414365
"X003a",1964,41.20879121
"X003a",1965,58.56353591
"X003a",1966,50.27624309
"X003a",1967,32.0441989
"X003a",1968,47.8021978
"X003a",1969,64.64088398
"X003a",1970,46.40883978
"X003a",1971,61.87845304
"X003a",1972,65.38461538
"X003a",1973,50.82872928
"X003a",1974,50.82872928
"X003a",1975,61.87845304
"X003a",1976,58.24175824
"X003a",1977,47.51381215
"X003a",1978,43.09392265
"X003a",1979,66.29834254
"X003a",1980,59.34065934
"X003a",1981,40.33149171
"X003a",1982,60.77348066
"X003a",1983,39.22651934
"X003a",1984,41.20879121
"X003a",1985,69.61325967
"X003a",1986,53.03867403
"X003a",1987,37.56906077
"X003a",1988,47.25274725
"X003a",1989,48.61878453
"X003a",1990,44.19889503
"X003a",1991,44.75138122
"X003a",1992,24.72527473
"X003a",1993,53.59116022
"X003a",1994,33.70165746
"X003a",1995,41.43646409
"X003a",1996,41.75824176
"X003a",1997,45.85635359
"X003a",1998,30.38674033
"X003a",1999,44.75138122
"X003a",2000,38.46153846
"X003a",2001,48.06629834
"X003a",2002,54.14364641
"X003a",2003,34.80662983
"X003a",2004,37.91208791
"X003a",2005,40.8839779
"X003a",2006,40.8839779
"X003a",2007,43.64640884
"X003a",2008,60.43956044
"X003a",2009,61.32596685
"X003a",2010,38.67403315
"X003a",2011,56.90607735
"X003a",2012,58.24175824
"X003a",2013,44.19889503
"X003a",2014,45.85635359
"X003a",2015,40.8839779
"X003a",2016,32.41758242
"X003a",2017,49.17127072
"X003a",2018,50.27624309
"X003d",1951,67.9558011
"X003d",1952,64.28571429
"X003d",1953,56.90607735
"X003d",1954,65.19337017
"X003d",1955,62.43093923
"X003d",1956,71.42857143
"X003d",1957,65.74585635
"X003d",1958,49.72375691
"X003d",1959,57.45856354
"X003d",1960,51.64835165
"X003d",1961,39.22651934
"X003d",1962,51.93370166
"X003d",1963,34.25414365
"X003d",1964,41.20879121
"X003d",1965,58.56353591
"X003d",1966,50.27624309
"X003d",1967,32.0441989
"X003d",1968,47.8021978
"X003d",1969,64.64088398
"X003d",1970,46.40883978
"X003d",1971,61.87845304
"X003d",1972,65.38461538
"X003d",1973,50.82872928
"X003d",1974,50.82872928
"X003d",1975,61.87845304
"X003d",1976,58.24175824
"X003d",1977,47.51381215
"X003d",1978,43.09392265
"X003d",1979,66.29834254
"X003d",1980,59.34065934
"X003d",1981,40.33149171
"X003d",1982,60.77348066
"X003d",1983,39.22651934
"X003d",1984,41.20879121
"X003d",1985,69.61325967
"X003d",1986,53.03867403
"X003d",1987,37.56906077
"X003d",1988,47.25274725
"X003d",1989,48.61878453
"X003d",1990,44.19889503
"X003d",1991,44.75138122
"X003d",1992,24.72527473
"X003d",1993,53.59116022
"X003d",1994,33.70165746
"X003d",1995,41.43646409
"X003d",1996,41.75824176
"X003d",1997,45.85635359
"X003d",1998,30.38674033
"X003d",1999,44.75138122
"X003d",2000,38.46153846
"X003d",2001,48.06629834
"X003d",2002,54.14364641
"X003d",2003,34.80662983
"X003d",2004,37.91208791
"X003d",2005,40.8839779
"X003d",2006,40.8839779
"X003d",2007,43.64640884
"X003d",2008,60.43956044
"X003d",2009,61.32596685
"X003d",2010,38.67403315
"X003d",2011,56.90607735
"X003d",2012,58.24175824
"X003d",2013,44.19889503
"X003d",2014,45.85635359
"X003d",2015,40.8839779
"X003d",2016,32.41758242
"X003d",2017,49.17127072
"X003d",2018,50.27624309
"X003e",1951,67.9558011
"X003e",1952,64.28571429
"X003e",1953,56.90607735
"X003e",1954,65.19337017
"X003e",1955,62.43093923
"X003e",1956,71.42857143
"X003e",1957,65.74585635
"X003e",1958,49.72375691
"X003e",1959,57.45856354
"X003e",1960,51.64835165
"X003e",1961,39.22651934
"X003e",1962,51.93370166
"X003e",1963,34.25414365
"X003e",1964,41.20879121
"X003e",1965,58.56353591
"X003e",1966,50.27624309
"X003e",1967,32.0441989
"X003e",1968,47.8021978
"X003e",1969,64.64088398
"X003e",1970,46.40883978
"X003e",1971,61.87845304
"X003e",1972,65.38461538
"X003e",1973,50.82872928
"X003e",1974,50.82872928
"X003e",1975,61.87845304
"X003e",1976,58.24175824
"X003e",1977,47.51381215
"X003e",1978,43.09392265
"X003e",1979,66.29834254
"X003e",1980,59.34065934
"X003e",1981,40.33149171
"X003e",1982,60.77348066
"X003e",1983,39.22651934
"X003e",1984,41.20879121
"X003e",1985,69.61325967
"X003e",1986,53.03867403
"X003e",1987,37.56906077
"X003e",1988,47.25274725
"X003e",1989,48.61878453
"X003e",1990,44.19889503
"X003e",1991,44.75138122
"X003e",1992,24.72527473
"X003e",1993,53.59116022
"X003e",1994,33.70165746
"X003e",1995,41.43646409
"X003e",1996,41.75824176
"X003e",1997,45.85635359
"X003e",1998,30.38674033
"X003e",1999,44.75138122
"X003e",2000,38.46153846
"X003e",2001,48.06629834
"X003e",2002,54.14364641
"X003e",2003,34.80662983
"X003e",2004,37.91208791
"X003e",2005,40.8839779
"X003e",2006,40.8839779
"X003e",2007,43.64640884
"X003e",2008,60.43956044
"X003e",2009,61.32596685
"X003e",2010,38.67403315
"X003e",2011,56.90607735
"X003e",2012,58.24175824
"X003e",2013,44.19889503
"X003e",2014,45.85635359
"X003e",2015,40.8839779
"X003e",2016,32.41758242
"X003e",2017,49.17127072
"X003e",2018,50.27624309
"X004b",1951,67.9558011
"X004b",1952,64.28571429
"X004b",1953,56.90607735
"X004b",1954,65.19337017
"X004b",1955,62.43093923
"X004b",1956,71.42857143
"X004b",1957,65.74585635
"X004b",1958,49.72375691
"X004b",1959,57.45856354
"X004b",1960,51.64835165
"X004b",1961,39.22651934
"X004b",1962,51.93370166
"X004b",1963,34.25414365
"X004b",1964,41.20879121
"X004b",1965,58.56353591
"X004b",1966,50.27624309
"X004b",1967,32.0441989
"X004b",1968,47.8021978
"X004b",1969,64.64088398
"X004b",1970,46.40883978
"X004b",1971,61.87845304
"X004b",1972,65.38461538
"X004b",1973,50.82872928
"X004b",1974,50.82872928
"X004b",1975,61.87845304
"X004b",1976,58.24175824
"X004b",1977,47.51381215
"X004b",1978,43.09392265
"X004b",1979,66.29834254
"X004b",1980,59.34065934
"X004b",1981,40.33149171
"X004b",1982,60.77348066
"X004b",1983,39.22651934
"X004b",1984,41.20879121
"X004b",1985,69.61325967
"X004b",1986,53.03867403
"X004b",1987,37.56906077
"X004b",1988,47.25274725
"X004b",1989,48.61878453
"X004b",1990,44.19889503
"X004b",1991,44.75138122
"X004b",1992,24.72527473
"X004b",1993,53.59116022
"X004b",1994,33.70165746
"X004b",1995,41.43646409
"X004b",1996,41.75824176
"X004b",1997,45.85635359
"X004b",1998,30.38674033
"X004b",1999,44.75138122
"X004b",2000,38.46153846
"X004b",2001,48.06629834
"X004b",2002,54.14364641
"X004b",2003,34.80662983
"X004b",2004,37.91208791
"X004b",2005,40.8839779
"X004b",2006,40.8839779
"X004b",2007,43.64640884
"X004b",2008,60.43956044
"X004b",2009,61.32596685
"X004b",2010,38.67403315
"X004b",2011,56.90607735
"X004b",2012,58.24175824
"X004b",2013,44.19889503
"X004b",2014,45.85635359
"X004b",2015,40.8839779
"X004b",2016,32.41758242
"X004b",2017,49.17127072
"X004b",2018,50.27624309
"X004d",1951,67.9558011
"X004d",1952,64.28571429
"X004d",1953,56.90607735
"X004d",1954,65.19337017
"X004d",1955,62.43093923
"X004d",1956,71.42857143
"X004d",1957,65.74585635
"X004d",1958,49.72375691
"X004d",1959,57.45856354
"X004d",1960,51.64835165
"X004d",1961,39.22651934
"X004d",1962,51.93370166
"X004d",1963,34.25414365
"X004d",1964,41.20879121
"X004d",1965,58.56353591
"X004d",1966,50.27624309
"X004d",1967,32.0441989
"X004d",1968,47.8021978
"X004d",1969,64.64088398
"X004d",1970,46.40883978
"X004d",1971,61.87845304
"X004d",1972,65.38461538
"X004d",1973,50.82872928
"X004d",1974,50.82872928
"X004d",1975,61.87845304
"X004d",1976,58.24175824
"X004d",1977,47.51381215
"X004d",1978,43.09392265
"X004d",1979,66.29834254
"X004d",1980,59.34065934
"X004d",1981,40.33149171
"X004d",1982,60.77348066
"X004d",1983,39.22651934
"X004d",1984,41.20879121
"X004d",1985,69.61325967
"X004d",1986,53.03867403
"X004d",1987,37.56906077
"X004d",1988,47.25274725
"X004d",1989,48.61878453
"X004d",1990,44.19889503
"X004d",1991,44.75138122
"X004d",1992,24.72527473
"X004d",1993,53.59116022
"X004d",1994,33.70165746
"X004d",1995,41.43646409
"X004d",1996,41.75824176
"X004d",1997,45.85635359
"X004d",1998,30.38674033
