"site_id","year","FFD"
"X003b",2014,45.85635359
"X003b",2015,40.8839779
"X003b",2016,32.41758242
"X003b",2017,49.17127072
"X003b",2018,50.27624309
"X004b",1951,67.9558011
"X004b",1952,64.28571429
"X004b",1953,56.90607735
"X004b",1954,65.19337017
"X004b",1955,62.43093923
"X004b",1956,71.42857143
"X004b",1957,65.74585635
"X004b",1958,49.72375691
"X004b",1959,57.45856354
"X004b",1960,51.64835165
"X004b",1961,39.22651934
"X004b",1962,51.93370166
"X004b",1963,34.25414365
"X004b",1964,41.20879121
"X004b",1965,58.56353591
"X004b",1966,50.27624309
"X004b",1967,32.0441989
"X004b",1968,47.8021978
"X004b",1969,64.64088398
"X004b",1970,46.40883978
"X004b",1971,61.87845304
"X004b",1972,65.38461538
"X004b",1973,50.82872928
"X004b",1974,50.82872928
"X004b",1975,61.87845304
"X004b",1976,58.24175824
"X004b",1977,47.51381215
"X004b",1978,43.09392265
"X004b",1979,66.29834254
"X004b",1980,59.34065934
"X004b",1981,40.33149171
"X004b",1982,60.77348066
"X004b",1983,39.22651934
"X004b",1984,41.20879121
"X004b",1985,69.61325967
"X004b",1986,53.03867403
"X004b",1987,37.56906077
"X004b",1988,47.25274725
"X004b",1989,48.61878453
"X004b",1990,44.19889503
"X004b",1991,44.75138122
"X004b",1992,24.72527473
"X004b",1993,53.59116022
"X004b",1994,33.70165746
"X004b",1995,41.43646409
"X004b",1996,41.75824176
"X004b",1997,45.85635359
"X004b",1998,30.38674033
"X004b",1999,44.75138122
"X004b",2000,38.46153846
"X004b",2001,48.06629834
"X004b",2002,54.14364641
"X004b",2003,34.80662983
"X004b",2004,37.91208791
"X004b",2005,40.8839779
"X004b",2006,40.8839779
"X004b",2007,43.64640884
"X004b",2008,60.43956044
"X004b",2009,61.32596685
"X004b",2010,38.67403315
"X004b",2011,56.90607735
"X004b",2012,58.24175824
"X004b",2013,44.19889503
"X004b",2014,45.85635359
"X004b",2015,40.8839779
"X004b",2016,32.41758242
"X004b",2017,49.17127072
"X004b",2018,50.27624309
"X011c",1951,32.59668508
"X011c",1952,33.51648352
"X011c",1953,11.60220994
"X011c",1954,24.30939227
"X011c",1955,25.41436464
"X011c",1956,36.81318681
"X011c",1957,38.67403315
"X011c",1958,7.73480663
"X011c",1959,23.20441989
"X011c",1960,31.31868132
"X011c",1961,12.70718232
"X011c",1962,28.17679558
"X011c",1963,14.91712707
"X011c",1964,13.73626374
"X011c",1965,32.59668508
"X011c",1966,22.6519337
"X011c",1967,18.2320442
"X011c",1968,23.07692308
"X011c",1969,40.33149171
"X011c",1970,14.91712707
"X011c",1971,33.14917127
"X011c",1972,40.10989011
"X011c",1973,25.96685083
"X011c",1974,24.30939227
"X011c",1975,26.51933702
"X011c",1976,30.76923077
"X011c",1977,18.2320442
"X011c",1978,32.59668508
"X011c",1979,28.17679558
"X011c",1980,23.07692308
"X011c",1981,12.15469613
"X011c",1982,24.30939227
"X011c",1983,13.8121547
"X011c",1984,19.78021978
"X011c",1985,25.41436464
"X011c",1986,25.96685083
"X011c",1987,8.839779006
"X011c",1988,8.241758242
"X011c",1989,22.6519337
"X011c",1990,17.67955801
"X011c",1991,24.86187845
"X011c",1992,4.945054945
"X011c",1993,27.0718232
"X011c",1994,14.91712707
"X011c",1995,28.17679558
"X011c",1996,35.16483516
"X011c",1997,41.98895028
"X011c",1998,24.30939227
"X011c",1999,25.41436464
"X011c",2000,24.72527473
